id,grid_solution,steps
test-3x3-001,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""turtle""], [""2"", ""Mallory"", ""blue"", ""dog""], [""3"", ""Alice"", ""green"", ""cat""]]}",8
test-3x3-002,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""blue"", ""dog""], [""2"", """", ""red"", ""fish""], [""3"", """", ""orange"", ""bird""]]}",6
test-3x3-003,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""purple"", ""rabbit""], [""2"", ""Carol"", ""orange"", ""hamster""], [""3"", ""Mallory"", ""green"", ""cat""]]}",6
test-3x3-004,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""white"", ""rabbit""], [""2"", ""Ivan"", ""red"", ""cat""], [""3"", ""Heidi"", ""orange"", ""turtle""]]}",6
test-3x3-005,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""white"", ""fish""], [""2"", ""Mallory"", ""green"", ""turtle""], [""3"", """", ""blue"", ""cat""]]}",6
test-3x3-006,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""purple"", ""rabbit""], [""2"", ""Mallory"", ""white"", ""dog""], [""3"", ""Grace"", ""yellow"", ""cat""]]}",6
test-3x3-007,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Heidi"", ""blue"", ""dog""], [""2"", ""Alice"", ""red"", ""turtle""], [""3"", ""Alice"", ""yellow"", ""cat""]]}",6
test-3x3-008,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""white"", ""rabbit""], [""2"", ""Grace"", ""blue"", ""hamster""], [""3"", ""Alice"", ""yellow"", ""fish""]]}",6
test-3x3-009,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", """", ""white"", ""rabbit""], [""2"", ""Bob"", ""purple"", ""bird""], [""3"", ""Judy"", ""orange"", ""fish""]]}",7
test-3x3-010,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""green"", ""bird""], [""2"", ""Ivan"", ""orange"", ""dog""], [""3"", ""Eve"", ""red"", ""rabbit""]]}",6
